,name,longitude,latitude,time,temp,humidity,cloudiness,wind_speed
91,Geraldton,114.6,-28.7667,28800,66.2,68,1,5.75
92,High Level,-117.136,58.5169,-21600,15.8,86,75,11.5
93,Maniitsoq,-52.9,65.4167,-10800,30.45,96,100,6.78
94,Upernavik,-56.1549,72.7868,-10800,2.73,96,97,11.03
95,Ponta do Sol,-17.1,32.6667,0,59.07,77,40,14.97
96,Port Elizabeth,25.5701,-33.918,7200,66.2,94,75,13.8
97,Sabha,14.4283,27.0377,7200,80.65,15,29,10.49
98,Kapaa,-159.319,22.0752,-36000,71.26,78,40,19.57
99,Mount Gambier,140.7667,-37.8333,37800,60.8,82,94,6.91
100,Leningradskiy,178.4167,69.3833,43200,-14.66,87,100,1.07
101,Bacolod City,122.95,10.6667,28800,79.39,80,11,6.4
102,Sandane,6.215,61.7728,3600,37.8,88,100,5.01
103,Bafra,35.9069,41.5678,10800,46.99,80,100,4.0
104,Acapulco de Juárez,-99.8901,16.8634,-21600,84.2,65,1,5.75
105,Sorong,131.25,-0.8833,32400,80.55,82,100,7.29
106,Luena,19.9167,-11.7833,3600,65.23,81,12,2.93
107,Jalu,21.5482,29.0331,7200,79.36,14,40,9.42
108,Ostrovnoy,39.5131,68.0531,10800,19.02,91,77,17.98
109,Cape Town,18.4232,-33.9258,7200,64.29,68,20,21.85
110,Kawalu,108.2082,-7.3817,25200,72.28,88,62,1.57
111,Mormugao,73.8,15.4,19800,82.4,78,0,5.75
112,Riyadh,46.7219,24.6877,10800,75.65,20,0,6.91
113,Kaeo,173.7833,-35.1,46800,51.01,89,9,1.99
114,Boguchany,97.4531,58.3814,25200,21.51,94,100,2.15
115,Carmichael,-121.3283,38.6171,-25200,54.12,66,1,0.81
116,Airai,125.4092,-8.9266,32400,60.87,86,83,2.21
117,Khatanga,102.5,71.9667,25200,-36.2,97,72,10.13
118,Lebu,-73.65,-37.6167,-10800,64.02,63,69,9.78
119,Ancud,-73.8203,-41.8697,-10800,59.92,52,75,6.91
